movie_id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
movie_0001,Dragon Legend,Stand-up Comedy,History,Thriller,2014,35,TV-Y,French,Japan,,,,,,FALSE,07-08-2023,FALSE
movie_0002,Storm Warrior,Stand-up Comedy,Sci-Fi,,2017,37,PG,Japanese,USA,3.3,,,,,FALSE,28-01-2022,TRUE
movie_0003,Fire Family,Movie,Drama,,2003,142,TV-MA,English,USA,8.5,2114120,,,,FALSE,04-05-2021,TRUE
movie_0004,Our Princess,Documentary,Sci-Fi,,2011,131,NC-17,Japanese,USA,5.3,,,,,FALSE,26-11-2022,FALSE
movie_0005,Warrior Mission,Documentary,Sport,Mystery,2015,91,TV-G,English,USA,3.1,,,,,FALSE,15-06-2023,FALSE
movie_0006,Kingdom Phoenix,Movie,Documentary,Music,1997,113,PG-13,English,USA,8,4214426,792291,,,FALSE,21-01-2021,FALSE
movie_0007,Battle Story,TV Series,Sci-Fi,,2003,52,TV-Y7,English,USA,,,,,158,FALSE,30-11-2021,FALSE
movie_0008,Old House,Movie,Horror,,1991,109,TV-Y,Spanish,South Korea,7.7,629216,3995303,,,FALSE,04-10-2020,FALSE
movie_0009,Dragon Empire,Movie,Biography,,2013,123,PG,Spanish,USA,8.4,,,,,FALSE,09-05-2024,FALSE
movie_0010,Dream War,Limited Series,Thriller,Animation,2019,49,TV-Y,Italian,Japan,8.2,,,12,32,FALSE,20-09-2021,FALSE
movie_0011,Day Dream,Movie,Western,,2022,148,R,English,USA,,16018207,,,,TRUE,02-06-2025,FALSE
movie_0012,Bright War,Movie,Crime,Sci-Fi,1997,95,G,English,South Korea,9.9,,72997481,,,FALSE,22-05-2025,FALSE
movie_0013,Dream Journey,Movie,Romance,,2013,138,PG,English,Germany,8.6,1758821,3573506,,,FALSE,20-01-2021,TRUE
movie_0014,Little War,Movie,Mystery,,1990,117,TV-14,Korean,Japan,8.4,,32793336,,,TRUE,01-10-2020,FALSE
movie_0015,Hero Empire,Movie,Sci-Fi,Mystery,2012,108,TV-G,English,UK,,2006408,,,,FALSE,18-09-2022,FALSE
movie_0016,Last Dream,TV Series,Family,,1999,54,PG-13,Spanish,USA,6,,,,139,FALSE,19-01-2022,FALSE
movie_0017,Kingdom Battle,Stand-up Comedy,War,,2018,72,NC-17,Italian,UK,5.9,,,,,TRUE,13-10-2021,FALSE
movie_0018,Princess Phoenix,Movie,Adventure,,2011,116,PG,English,France,7.6,10555440,7278095,,,TRUE,04-04-2021,FALSE
movie_0019,An Legend,Limited Series,Sci-Fi,Crime,2004,48,TV-PG,English,UK,9.3,,,1,155,FALSE,12-05-2022,FALSE
movie_0020,An Mystery,TV Series,Fantasy,,2009,41,PG-13,English,Canada,7.1,,,14,168,FALSE,21-08-2022,FALSE
movie_0021,Family Love,Limited Series,Family,Thriller,2020,52,TV-PG,English,USA,8.5,,,5,106,FALSE,25-07-2023,FALSE
movie_0022,First Mystery,Movie,Sci-Fi,,1998,115,TV-PG,English,South Korea,,2934549,40080746,,,TRUE,12-09-2022,FALSE
movie_0023,Mystery Night,TV Series,Adventure,,2020,60,TV-MA,English,USA,4.8,,,6,197,TRUE,18-10-2024,FALSE
movie_0024,Fire Mystery,Movie,Biography,,1990,114,TV-Y7,English,South Korea,4.4,895311,52104449,,,FALSE,04-04-2023,FALSE
movie_0025,Quest Queen,Movie,Family,,2013,127,PG,English,UK,9.2,,1286089,,,FALSE,21-12-2024,FALSE
movie_0026,Last Love,TV Series,Comedy,,2000,78,PG,English,India,8.6,,,10,121,FALSE,23-02-2025,FALSE
movie_0027,House House,Stand-up Comedy,Western,,2012,60,PG-13,English,South Korea,7,,,,,TRUE,19-09-2021,FALSE
movie_0028,Legend Hero,Stand-up Comedy,Biography,Romance,2003,417,PG,French,USA,,,,,,FALSE,07-01-2024,FALSE
movie_0029,Dark Princess,Movie,Horror,Sport,1998,117,PG,English,Japan,5.4,,6128075,,,FALSE,16-04-2022,FALSE
movie_0030,Dragon King,Movie,Documentary,,2017,151,G,English,India,7.5,,9373734,,,FALSE,10-06-2024,TRUE
movie_0031,Warrior War,Movie,Romance,,2024,129,TV-Y7,English,USA,4.7,,2057069,,,FALSE,10-06-2022,FALSE
movie_0032,House Hero,TV Series,Crime,,2000,31,TV-Y7,German,UK,,,,3,24,FALSE,13-02-2024,FALSE
movie_0033,Mystery City,Movie,Horror,,1995,116,TV-MA,Korean,USA,7.3,,,,,FALSE,24-06-2022,FALSE
movie_0034,Mission Kingdom,TV Series,War,Horror,2018,48,TV-PG,English,India,7.7,,,14,138,TRUE,22-10-2023,TRUE
movie_0035,Princess Love,TV Series,Family,Romance,1994,38,TV-PG,English,USA,7.4,,,,62,FALSE,01-03-2021,FALSE
movie_0036,House Legend,TV Series,Adventure,Action,2018,61,PG-13,Spanish,Germany,6.5,,,10,57,FALSE,18-04-2025,FALSE
movie_0037,Empire King,TV Series,Comedy,,2011,51,TV-G,French,USA,,,,5,23,FALSE,02-05-2025,FALSE
movie_0038,A Empire,Movie,Action,,1993,98,TV-MA,Korean,USA,5.6,3127772,391629433,,,TRUE,29-06-2021,FALSE
movie_0039,Love Queen,Movie,Mystery,,2019,80,PG-13,German,USA,7.3,5603605,,,,FALSE,10-01-2022,FALSE
movie_0040,Mystery Quest,Movie,War,Music,2005,116,PG-13,Japanese,UK,6.4,1816487,2016406,,,FALSE,04-02-2023,FALSE
movie_0041,Kingdom War,Documentary,Biography,Sport,2003,83,TV-14,English,USA,,,,,,FALSE,23-03-2023,FALSE
movie_0042,First Hero,Movie,Action,,2020,452,TV-G,Hindi,India,6.7,2146992,55547817,,,TRUE,01-06-2024,FALSE
movie_0043,City Queen,Documentary,Family,,2005,80,PG-13,Spanish,USA,6.3,,,,,FALSE,12-12-2022,FALSE
movie_0044,Dragon City,Stand-up Comedy,War,Documentary,1998,379,TV-G,English,USA,5.2,,,,,FALSE,31-01-2023,FALSE
movie_0045,Battle Day,Documentary,History,,2003,92,PG,English,USA,5.4,,,,,TRUE,18-02-2025,FALSE
movie_0046,The Dragon,TV Series,Family,,2002,43,PG-13,English,USA,6.7,,,8,113,FALSE,15-08-2023,FALSE
movie_0047,Day Journey,TV Series,Thriller,,2008,47,PG,English,Japan,5.4,,,9,54,FALSE,15-12-2020,FALSE
movie_0048,Secret Legend,Movie,Family,,1994,102,TV-14,Hindi,UK,,93953191,835652471,,,FALSE,30-08-2024,FALSE
movie_0049,Kingdom Day,Movie,Thriller,,2023,111,NC-17,English,Germany,4.6,629194,2736647,,,FALSE,03-03-2024,FALSE
movie_0050,Last Quest,TV Series,Biography,,2015,41,TV-PG,French,USA,6.1,,,8,116,FALSE,10-08-2023,FALSE
movie_0051,Hero Mystery,TV Series,Western,Comedy,1995,52,TV-PG,English,USA,8,,,12,178,FALSE,10-09-2023,FALSE
movie_0052,Hero Journey,Movie,Sport,Biography,2002,104,PG-13,Italian,USA,4.9,6117844,16638609,,,TRUE,01-11-2022,FALSE
movie_0053,Princess City,Documentary,History,,2018,90,TV-Y7,English,Canada,4.7,,,,,FALSE,28-02-2022,FALSE
movie_0054,Phoenix Journey,TV Series,Romance,History,2021,35,TV-MA,English,France,8.8,,,,78,FALSE,17-11-2024,FALSE
movie_0055,Queen Quest,Movie,Sci-Fi,,2002,84,G,Italian,India,4.7,6494786,,,,TRUE,21-11-2023,TRUE
movie_0056,Big Princess,Movie,Adventure,Comedy,1997,137,TV-Y,English,USA,6.2,3593765,2259750,,,TRUE,18-01-2021,FALSE
movie_0057,Mission Dream,Movie,Biography,,2017,82,TV-14,Spanish,USA,5.9,4186498,7674756,,,TRUE,30-10-2021,FALSE
movie_0058,Day Mystery,Stand-up Comedy,Drama,,2020,57,R,English,USA,6.6,,,,,TRUE,16-10-2022,FALSE
movie_0059,Night Secret,TV Series,Romance,Sci-Fi,1992,580,TV-14,French,USA,6.3,,,4,42,TRUE,24-08-2020,FALSE
movie_0060,Night Warrior,TV Series,Biography,,1993,44,PG-13,English,USA,4.9,,,10,46,FALSE,08-08-2024,FALSE
movie_0061,Journey Night,Movie,Drama,,2017,100,TV-MA,English,UK,6.9,11264097,,,,FALSE,25-11-2021,FALSE
movie_0062,Phoenix Mission,Movie,Action,,2012,129,TV-Y,English,USA,4.4,4494260,53848956,,,FALSE,16-08-2022,FALSE
movie_0063,Hero Kingdom,Movie,Adventure,,1997,165,G,Hindi,UK,6.9,1360448,656952,,,FALSE,22-04-2021,FALSE
movie_0064,Last City,Documentary,Animation,Crime,1994,115,TV-PG,Japanese,South Korea,5.8,,,,,FALSE,03-07-2021,FALSE
movie_0065,Day Queen,Movie,Sport,,1991,109,TV-14,Italian,USA,,11397312,32147534,,,TRUE,16-11-2024,FALSE
movie_0066,Adventure King,Movie,Comedy,Romance,2013,104,TV-14,English,Canada,7.9,4687811,26772080,,,FALSE,24-06-2022,FALSE
movie_0067,Story Mystery,TV Series,Crime,,2005,50,PG,English,USA,6.8,,,2,73,FALSE,21-05-2023,FALSE
movie_0068,Secret Night,TV Series,Horror,,1994,46,R,English,USA,7.5,,,5,44,FALSE,22-10-2021,FALSE
movie_0069,An Quest,TV Series,Documentary,,2020,42,NC-17,Spanish,South Korea,8.1,,,9,6,FALSE,13-02-2024,FALSE
movie_0070,Battle City,Documentary,Biography,,2023,81,R,Hindi,France,6.5,,,,,FALSE,31-12-2022,TRUE
movie_0071,Phoenix Ice,TV Series,Music,Sci-Fi,2016,70,TV-MA,English,Canada,6.7,,,3,79,TRUE,17-06-2024,FALSE
movie_0072,Storm Warrior,Limited Series,Sci-Fi,Drama,2015,73,TV-14,French,South Korea,,,,14,75,FALSE,09-06-2021,FALSE
movie_0073,House Family,TV Series,Action,,2021,42,TV-PG,German,Canada,4.8,,,5,121,TRUE,24-03-2023,FALSE
movie_0074,Dark Ice,Movie,Comedy,,2005,150,PG,English,Canada,,1915176,3628760,,,TRUE,07-11-2021,FALSE
movie_0075,War Hero,TV Series,Animation,Crime,2016,18,TV-PG,English,USA,6.5,,,1,177,FALSE,21-04-2023,TRUE
movie_0076,Empire Battle,Movie,Family,Documentary,2023,108,G,English,USA,6.8,20837483,4643156,,,TRUE,30-05-2023,FALSE
movie_0077,Our Battle,TV Series,War,History,2018,26,TV-14,English,USA,6.4,,,5,95,TRUE,03-12-2024,FALSE
movie_0078,Little War,Movie,Fantasy,Mystery,1999,143,NC-17,Hindi,USA,,1035450,,,,FALSE,30-03-2022,FALSE
